k,topic,orig_x,orig_y,cluster
60,8,-0.0209312677361,-0.00799567696194,0
60,9,0.0230273543269,0.052245927108,2
60,10,-0.017985905017,0.0407328945797,7
60,11,-0.048121995671,0.0329376564851,7
60,12,-0.000575668040065,0.118587965273,2
60,13,-0.0462233619002,-0.0271441469496,0
60,14,-0.0223913787107,0.0125763218231,7
60,15,-0.0404973878348,-0.0547164183131,0
60,16,-0.0223598621518,-0.0102589015241,0
60,17,-0.0173287380361,-0.0112286743161,0
60,18,-0.0470578638818,-0.00753220901674,0
60,19,-0.0173776998474,-0.0147403191269,0
60,20,-0.0218744248299,-0.0458746156185,0
60,21,-0.0241138886292,-0.0581143735305,0
60,22,0.279593866127,-0.0783553090197,5
60,23,-0.0858247942291,0.0205966291768,7
60,24,-0.0259332854428,-0.0274976217459,0
60,25,-0.0557693328874,0.0825408300846,2
60,26,0.153677912665,-0.0300546018405,6
60,27,-0.0570771681919,-0.00773094310133,0
60,28,-0.0174743118426,-0.00656024588833,0
60,29,-0.0117829872136,-0.0321062890979,0
60,30,0.0255782078964,-0.0260880343423,3
60,31,0.0192266219098,-0.00911969527628,3
60,32,-0.0458426904751,0.0996941939101,2
60,33,-0.0159333234533,-0.00606621713268,0
60,34,-0.0140279959999,-0.0446456875675,0
60,35,-0.0684052251456,-0.0901026618648,8
60,36,-0.0314432114655,0.0290787818772,7
60,37,0.000447564048439,-0.018773335817,3
60,38,-0.0236970342589,-0.0374886453086,0
60,39,-0.0235974051968,-0.0402638657232,0
60,40,-0.033725016299,-0.0528308910814,0
60,41,-0.0196939951343,-0.0209360933549,0
60,42,0.0502957327173,0.0153758368986,3
60,43,-0.0428820641899,-0.108296534586,8
60,44,-0.0246273456309,-0.0337280861567,0
60,45,-0.0115906830048,0.0212635552915,7
60,46,0.136601580065,0.0180419268647,6
60,47,-0.0585752756883,-0.0381314883968,0
60,48,-0.00693829560159,0.0177213459638,7
60,49,0.0199716506594,0.0387636267515,3
60,50,-0.0157272752845,0.0813332068629,2
60,51,-0.0227553702421,-0.0133686496976,0
60,52,-0.00617046762862,-0.0049128107973,3
60,53,-0.0474126968154,-0.000940329665019,7
60,54,-0.045386846851,0.0146841534819,7
60,55,-0.0216876880666,0.0154573456719,7
60,56,-0.0404953681468,0.0161649546904,7
60,57,-0.0351813637429,0.0365659074197,7
60,58,-0.05991385525,0.139937099712,9
60,59,0.93566860356,0.012557338051,1
80,0,-0.0358427943969,-0.00158878050252,7
80,1,0.0203395986803,0.020790479721,3
80,2,0.274238517668,-0.080245103861,5
80,3,-0.0446937327072,0.02788538185,7
80,4,-0.0702653120613,-0.0921391096024,8
80,5,-0.0330728185138,-0.0149226849337,0
80,6,-0.0852208058957,-0.106524811722,8
80,7,0.148791386353,0.00667500006474,6
80,8,0.0290194429328,0.0246900484278,3
80,9,0.10198924702,-0.0139934012178,6
80,10,-0.0328329618357,0.0190780523217,7
80,11,-0.0521733771594,-0.00528322062227,7
80,12,0.948409565944,0.0125893682544,1
80,13,-0.00601105604325,0.021096984526,7
80,14,-0.129940605866,0.258033822905,9
80,15,-0.0454694961793,-0.0375109770113,0
80,16,0.0237632407107,-0.0263893385941,3
80,17,-0.0466333866945,0.015940068179,7
80,18,-0.0242525573076,0.0144021817253,7
80,19,-0.0252410714994,0.00295741369315,7
80,20,-0.0236687437481,0.00990267301468,7
80,21,-0.010574565623,0.0459177138751,2
80,22,-0.0335758137455,0.0448414078424,7
80,23,0.176838677153,0.065207799891,6
80,24,-0.0639247269339,-0.0411556911266,0
80,25,-0.0110220198663,-0.0310876004976,0
80,26,-0.0268921040171,-0.000125217266866,7
80,27,-0.0283791400175,-0.053254822456,0
80,28,-0.0164330236798,-0.0319555327019,0
80,29,-0.0577728230573,-0.00939764677498,0
80,30,-0.030146743186,0.0363001304289,7
80,31,-0.0388261025364,-0.0474898292204,0
80,32,-0.0409256288326,-0.0406834804036,0
80,33,0.0172992684201,-0.0080620434366,3
80,34,-0.0256088077441,0.0636841932004,2
80,35,-0.0656212451792,0.0912156881238,2
80,36,0.020009191189,-0.028770973979,3
80,37,-0.0279039891348,-0.0382107571682,0
80,38,-0.0386841703034,0.029686954703,7
80,39,-0.0229780307454,0.000526901639977,7
80,40,-0.0322408646659,-0.0363484731965,0
80,41,-0.0326914142518,-0.0509524937108,0
80,42,-0.0269580590954,-0.0105958855731,0
